N,K,|V_K|,largest_component_size,largest_fraction
3,0,1,1,1.0
3,1,3,3,1.0
3,2,5,5,1.0
3,3,6,6,1.0
4,0,1,1,1.0
4,1,4,4,1.0
4,2,9,9,1.0
4,3,15,15,1.0
4,4,20,20,1.0
4,5,23,23,1.0
4,6,24,24,1.0
5,0,1,1,1.0
5,1,5,5,1.0
5,2,14,14,1.0
5,3,29,29,1.0
5,4,49,49,1.0
5,5,71,71,1.0
5,6,91,91,1.0
5,7,106,106,1.0
5,8,115,115,1.0
5,9,119,119,1.0
5,10,120,120,1.0
6,0,1,1,1.0
6,1,6,6,1.0
6,2,20,20,1.0
6,3,49,49,1.0
6,4,98,98,1.0
6,5,169,169,1.0
6,6,259,259,1.0
6,7,360,360,1.0
6,8,461,461,1.0
6,9,551,551,1.0
6,10,622,622,1.0
6,11,671,671,1.0
6,12,700,700,1.0
6,13,714,714,1.0
6,14,719,719,1.0
6,15,720,720,1.0
7,0,1,1,1.0
7,1,7,7,1.0
7,2,27,27,1.0
7,3,76,76,1.0
7,4,174,174,1.0
7,5,343,343,1.0
7,6,602,602,1.0
7,7,961,961,1.0
7,8,1416,1416,1.0
7,9,1947,1947,1.0
7,10,2520,501,0.19881
7,11,3093,501,0.161979
7,12,3624,501,0.138245
7,13,4079,501,0.122824
7,14,4438,501,0.112889
7,15,4697,501,0.106664
7,16,4866,501,0.102959
7,17,4964,501,0.100927
7,18,5013,501,0.09994
7,19,5033,501,0.099543
7,20,5039,501,0.099424
7,21,5040,501,0.099405
8,0,1,1,1.0
8,1,8,8,1.0
8,2,35,35,1.0
8,3,111,111,1.0
8,4,285,285,1.0
8,5,628,628,1.0
8,6,1230,1230,1.0
8,7,2191,502,0.229119
8,8,3606,502,0.139212
8,9,5546,503,0.090696
8,10,8039,503,0.06257
8,11,11056,503,0.045496
8,12,14506,502,0.034606
8,13,18242,502,0.027519
8,14,22078,502,0.022738
8,15,25814,503,0.019486
8,16,29264,501,0.01712
8,17,32281,503,0.015582
8,18,34774,502,0.014436
8,19,36714,501,0.013646
8,20,38129,502,0.013166
8,21,39090,501,0.012817
8,22,39692,501,0.012622
8,23,40035,501,0.012514
8,24,40209,502,0.012485
8,25,40285,501,0.012436
8,26,40312,501,0.012428
8,27,40319,501,0.012426
8,28,40320,501,0.012426
