N,K,num_vertices,num_edges,is_connected,num_components,largest_component_fraction,avg_clustering,diameter,is_K_N_minus_2
3,0,1,0,True,1,1.0,0.0,inf,False
3,1,3,2,True,1,1.0,0.0,2.0,True
3,2,5,4,True,1,1.0,0.0,4.0,False
3,3,6,6,True,1,1.0,0.0,3.0,False
4,0,1,0,True,1,1.0,0.0,inf,False
4,1,4,3,True,1,1.0,0.0,2.0,False
4,2,9,9,True,1,1.0,0.0,4.0,True
4,3,15,18,True,1,1.0,0.0,6.0,False
4,4,20,27,True,1,1.0,0.0,7.0,False
4,5,23,33,True,1,1.0,0.0,6.0,False
4,6,24,36,True,1,1.0,0.0,6.0,False
5,0,1,0,True,1,1.0,0.0,inf,False
5,1,5,4,True,1,1.0,0.0,2.0,False
5,2,14,16,True,1,1.0,0.0,4.0,False
5,3,29,40,True,1,1.0,0.0,6.0,True
5,4,49,76,True,1,1.0,0.0,8.0,False
5,5,71,120,True,1,1.0,0.0,10.0,False
5,6,91,164,True,1,1.0,0.0,11.0,False
5,7,106,200,True,1,1.0,0.0,10.0,False
6,0,1,0,True,1,1.0,0.0,inf,False
6,1,6,5,True,1,1.0,0.0,2.0,False
6,2,20,25,True,1,1.0,0.0,4.0,False
6,3,49,75,True,1,1.0,0.0,6.0,False
6,4,98,170,True,1,1.0,0.0,8.0,True
6,5,169,320,True,1,1.0,0.0,10.0,False
6,6,259,525,True,1,1.0,0.0,12.0,False
6,7,360,770,True,1,1.0,0.0,14.0,False
6,8,461,1030,True,1,1.0,0.0,16.0,False
