N,K,V_K,entropy,entropy_density,is_K_N_minus_2,dimension
3,0,1,0.0,0.0,False,2
3,1,3,1.0986122886681098,0.5493061443340549,True,2
3,2,5,1.6094379124341003,0.8047189562170501,False,2
3,3,6,1.791759469228055,0.8958797346140275,False,2
4,0,1,0.0,0.0,False,3
4,1,4,1.3862943611198906,0.46209812037329684,False,3
4,2,9,2.1972245773362196,0.7324081924454066,True,3
4,3,15,2.70805020110221,0.9026834003674034,False,3
4,4,20,2.995732273553991,0.9985774245179969,False,3
4,5,23,3.1354942159291497,1.0451647386430498,False,3
4,6,24,3.1780538303479458,1.0593512767826485,False,3
5,0,1,0.0,0.0,False,4
5,1,5,1.6094379124341003,0.40235947810852507,False,4
5,2,14,2.6390573296152584,0.6597643324038146,False,4
5,3,29,3.367295829986474,0.8418239574966185,True,4
5,4,49,3.8918202981106265,0.9729550745276566,False,4
5,5,71,4.2626798770413155,1.0656699692603289,False,4
5,6,91,4.51085950651685,1.1277148766292124,False,4
5,7,106,4.663439094112067,1.1658597735280167,False,4
5,8,115,4.74493212836325,1.1862330320908125,False,4
5,9,119,4.77912349311153,1.1947808732778824,False,4
5,10,120,4.787491742782046,1.1968729356955115,False,4
6,0,1,0.0,0.0,False,5
6,1,6,1.791759469228055,0.358351893845611,False,5
6,2,20,2.995732273553991,0.5991464547107982,False,5
6,3,49,3.8918202981106265,0.7783640596221253,False,5
6,4,98,4.584967478670572,0.9169934957341145,True,5
6,5,169,5.1298987149230735,1.0259797429846147,False,5
6,6,259,5.556828061699537,1.1113656123399074,False,5
6,7,360,5.886104031450156,1.1772208062900311,False,5
6,8,461,6.133398042996649,1.2266796085993297,False,5
6,9,551,6.311734809152915,1.262346961830583,False,5
6,10,622,6.432940092739179,1.2865880185478358,False,5
6,11,671,6.508769136971682,1.3017538273943363,False,5
6,12,700,6.551080335043404,1.3102160670086809,False,5
6,13,714,6.570882962339584,1.3141765924679167,False,5
6,14,719,6.577861357721047,1.3155722715442093,False,5
6,15,720,6.579251212010101,1.3158502424020202,False,5
7,0,1,0.0,0.0,False,6
7,1,7,1.9459101490553132,0.32431835817588556,False,6
7,2,27,3.295836866004329,0.5493061443340549,False,6
7,3,76,4.330733340286331,0.7217888900477218,False,6
7,4,174,5.159055299214529,0.8598425498690881,False,6
7,5,343,5.8377304471659395,0.9729550745276566,True,6
7,6,602,6.400257445308821,1.0667095742181367,False,6
7,7,961,6.8679744089702925,1.1446624014950488,False,6
7,8,1416,7.255591274253665,1.209265212375611,False,6
7,9,1947,7.5740450053721995,1.2623408342287,False,6
7,10,2520,7.832014180505469,1.3053356967509115,False,6
7,11,3093,8.03689677268507,1.3394827954475117,False,6
7,12,3624,8.19533366716287,1.3658889445271452,False,6
7,13,4079,8.313607139317558,1.3856011898862597,False,6
7,14,4438,8.39795910349254,1.3996598505820899,False,6
7,15,4697,8.454679286026995,1.4091132143378324,False,6
7,16,4866,8.490027523343468,1.4150045872239112,False,6
7,17,4964,8.509967146324497,1.4183278577207494,False,6
7,18,5013,8.519789817263504,1.4199649695439174,False,6
7,19,5033,8.52377150677636,1.4206285844627267,False,6
7,20,5039,8.524962928680598,1.4208271547800997,False,6
7,21,5040,8.525161361065415,1.4208602268442359,False,6
8,0,1,0.0,0.0,False,7
8,1,8,2.0794415416798357,0.29706307738283366,False,7
8,2,35,3.5553480614894135,0.507906865927059,False,7
8,3,111,4.709530201312334,0.6727900287589048,False,7
8,4,285,5.652489180268651,0.807498454324093,False,7
8,5,628,6.4425401664681985,0.9203628809240284,False,7
8,6,1230,7.114769448366463,1.0163956354809234,True,7
8,7,2191,7.692113339595466,1.0988733342279238,False,7
8,8,3606,8.190354403763262,1.1700506291090373,False,7
8,9,5546,8.620832226175724,1.2315474608822463,False,7
8,10,8039,8.99205997632796,1.28457999661828,False,7
8,11,11056,9.310728546007452,1.3301040780010644,False,7
8,12,14506,9.582317635923358,1.3689025194176225,False,7
8,13,18242,9.811481906740104,1.4016402723914434,False,7
8,14,22078,10.002336916578297,1.4289052737968997,False,7
8,15,25814,10.158672259395132,1.4512388941993046,False,7
8,16,29264,10.284113370630648,1.4691590529472354,False,7
8,17,32281,10.382234100838373,1.4831763001197675,False,7
8,18,34774,10.456625260087735,1.493803608583962,False,7
8,19,36714,10.510913432690595,1.5015590618129422,False,7
8,20,38129,10.548730426438988,1.506961489491284,False,7
8,21,39090,10.573621958787001,1.5105174226838574,False,7
8,22,39692,10.588904935034131,1.512700705004876,False,7
8,23,40035,10.597509350506733,1.5139299072152477,False,7
8,24,40209,10.601846130146606,1.514549447163801,False,7
8,25,40285,10.603734470211297,1.5148192100301852,False,7
8,26,40312,10.604404470360434,1.5149149243372049,False,7
8,27,40319,10.604578100850384,1.514939728692912,False,7
8,28,40320,10.60460290274525,1.51494327182075,False,7
